Height	Temp	Pres	RHwManipuli	Theta
km	degC	hPa	%	K
0	-0.95	1018	78.25933	270.85844
1	-4.45	897.3	74.15718	276.88638
2	-7.95	789.7	66.38016	283.12056
3	-11.45	693.8	59.89041	289.58357
4	-17.45	608.1	52.77338	293.46674
5	-23.45	531.3	48.29946	297.49915
6	-29.45	462.7	46.7169	301.68304
7	-35.45	401.6	33.04734	306.02619
8	-41.45	347.3	27.16525	310.54743
9	-47.45	299.3	28.49387	315.22736
10	-53.45	256.8	77.45437	320.14213
11	-53.95	219.9	77.45437	333.43517
12	-54.45	188.2	28.49387	347.33058
13	-54.95	161.1	3.85623	361.78436
14	-55.45	137.8	2.3518	376.91509
15	-55.95	117.8	1.96656	392.74107
16	-56.45	100.7	1.86075	409.23248
17	-56.95	86.1	1.56545	426.38977
18	-57.45	73.6	1.50504	444.29207
19	-57.95	62.8	1.27825	463.17764
20	-57.95	53.7	1.0927	483.70006
