angle, time_diff, t, z, sigmah, sigmav, sigmas, rice, Nice, g_t, Qabs_t, Qsca_t, g_s, Qabs_s, Qsca_s, CCS, CCS_cal, V_inter, IWC, RHice, Re, v_sed, windshear_s, wind_u, wind_v, wind_w, lat, lon, altitude
45.0, 900.0, 1.0, -0.009976321631173079, 16.634052069809737, 3.654821260939263, 3.637085254586744E-4, 1.8544737302678938E-6, 6.859575850894416E14, 0.6094410680725203, 0.12428668984784354, -4.968008406515123E-4, 0.6859579450125558, 0.34266276568428383, 1.3819126983927843, 352.9215350355194, 347.52490562716866, 171153.6786159631, 3.0643112614764733E-5, 146.63388157792446, 4.843739839568023E-5, 4.7744322815288556E-4, 2.717221231815966E-5, 40.769411696220516, 0.6018956595417051, -0.009823432413654356, -49.9868, 150.5256, 10491
45.0, 900.0, 1.0, -0.009976321631173079, 16.634052069807403, 3.6518596798415026, 3.61987368932746E-4, 1.8544737302678938E-6, 6.859575850894416E14, 0.6094410680725203, 0.12428668984784354, -4.968008406515123E-4, 0.6859579450125558, 0.34266276568428383, 1.3819126983927843, 381.6734993267609, 376.14201102537845, 185247.41054980876, 2.833472403709502E-5, 146.63389800114257, 4.843734455081273E-5, 4.7744306214219544E-4, 2.717221231917404E-5, 40.769411696220516, 0.6018956595417051, -0.009823432413654356, -49.9868, 150.5256, 10491
45.0, 900.0, 1.0564406686968904, -0.0105584817788992, 16.7017758040902, 3.6520777505132007, 3.826430149444416E-4, 1.8807527378762965E-6, 6.871279160471605E14, 0.6125372868990671, 0.12498801033901509, 1.483815744635214E-4, 0.6873179969755456, 0.06433407776673272, 1.7326894409383005, 383.2503258900254, 377.67225788462673, 186006.83336224654, 2.8218144520388654E-5, 146.6332626719029, 5.052581694197456E-5, 4.910702175139452E-4, 2.7186562587995094E-5, 40.76930588900372, 0.6017746857419364, -0.009823480611895336, -49.9868, 150.5256, 10491
45.0, 900.0, 1.1160668864767327, -0.01117351813220849, 16.773024882905762, 3.6523081150958827, 4.0449060336002283E-4, 1.8812598291670484E-6, 6.872431514571402E14, 0.612596488602657, 0.12500148872945427, 1.608696806423282E-4, 0.6832082972539057, 0.3536308215520832, 1.444829808695856, 384.9095334590713, 379.28224819668833, 186805.90641530568, 2.8096506174484607E-5, 146.63261453120685, 5.0566702340685796E-5, 4.913350593463184E-4, 2.7201722804611075E-5, 40.76919411021942, 0.6016468846885563, -0.009823529377975277, -49.9868, 150.5257, 10491
45.0, 900.0, 1.1790584478599357, -0.01182328832386906, 16.847968013364266, 3.652551465827498, 4.276004453766539E-4, 1.8817925221965452E-6, 6.873644741548015E14, 0.6126586572601803, 0.12501564539217316, 1.7398982166477728E-4, 0.6825622455236761, 0.3922036791951694, 1.4077677250223108, 386.6550989020243, 380.9758090504877, 187646.5413172719, 2.7969663698114414E-5, 146.6319298089108, 5.060967572513824E-5, 4.916133492589936E-4, 2.7217738683816186E-5, 40.769076022858854, 0.6015118711149645, -0.009823580898868228, -49.9868, 150.5257, 10491
45.0, 900.0, 1.2456052950898682, -0.01250975505743444, 16.926780558338745, 3.6528085338267138, 4.520471738975659E-4, 1.8823519835328692E-6, 6.874921853218489E14, 0.6127239257059557, 0.12503051099484028, 1.877709616796841E-4, 0.6900170386730844, -0.22046944688723635, 2.0220287315552303, 388.4911600663189, 382.75691996685055, 188530.72684288587, 2.7837474826582307E-5, 146.6311846249622, 5.065482542382474E-5, 4.91905679812113E-4, 2.72346585210617E-5, 40.76895127089584, 0.6013692380178655, -0.009823635329914185, -49.9868, 150.5257, 10491
45.0, 900.0, 1.3159080908771277, -0.01323499206007162, 17.009644673050854, 3.6530800912654535, 4.7791002877862896E-4, 1.8829393877771547E-6, 6.876265991361202E14, 0.6127924273419141, 0.12504611638108704, 2.0224228847337544E-4, 0.6900049697479163, -0.2216997336483207, 2.024927481040938, 390.4220196095684, 384.6297162378565, 189460.53075520665, 2.7699802637952613E-5, 146.630420428943, 5.070226896671147E-5, 4.922127345722436E-4, 2.7252533337151094E-5, 40.768819478213594, 0.6012185554309828, -0.009823692835268698, -49.9868, 150.5258, 10491
45.0, 900.0, 1.390178823469881, -0.014001190380456155, 17.096749434005673, 3.653366953661524, 5.052731628112211E-4, 1.8835559304145986E-6, 6.877680431731625E14, 0.6128642976088539, 0.12506249290910923, 2.1743353195696757E-4, 0.6857384744660674, 0.17029151968598952, 1.6346888161520692, 392.4521487159809, 386.59849212317835, 190438.10157267188, 2.7556512882975448E-5, 146.6295912859328, 5.075208846713975E-5, 4.925350953988213E-4, 2.727141703364734E-5, 40.768680247471686, 0.6010593691305011, -0.009823753589484568, -49.9868, 150.5258, 10491
45.0, 900.0, 1.4686414458747774, -0.014810665032869201, 17.188290959476568, 3.6536699822978274, 5.34225970345419E-4, 1.8842028934547895E-6, 6.87916858809472E14, 0.6129396816021454, 0.12507967419151686, 2.3337658399047445E-4, 0.6909828542149203, -0.35408089799545156, 2.1609017451972754, 394.5861906853107, 388.6677038887181, 191465.67027549775, 2.7407478891394263E-5, 146.6287383918833, 5.080441108331592E-5, 4.928735050237282E-4, 2.7291366553944265E-5, 40.768533158908376, 0.6008911992667949, -0.009823817775518193, -49.9868, 150.5259, 10491
45.0, 900.0, 1.5515325511559177, -0.015665862032446003, 17.284472520774006, 3.65399008677497, 5.648634404287757E-4, 1.88488154420734E-6, 6.88073401627067E14, 0.6130187222347485, 0.1250976934028063, 2.501030068451926E-4, 0.6864999895502235, 0.10484645129998449, 1.7039065925984838, 396.82896438252544, 390.84197267394086, 192545.55194621356, 2.725257847576905E-5, 146.62781554489993, 5.085932569191281E-5, 4.932285859823207E-4, 2.7312442055847197E-5, 40.76837776907573, 0.6007135389194524, -0.009823885588173641, -49.9868, 150.5259, 10491
45.0, 900.0, 1.6391020858481498, -0.016569365815644676, 17.385504643578884, 3.654328227704444, 5.972865367784597E-4, 1.8855932143466636E-6, 6.882380418191408E14, 0.6131015694128941, 0.125116585375276, 2.676459841293166E-4, 0.6899436005794025, -0.24184011103926872, 2.052620988312852, 399.1854675379206, 393.12608717575205, 193680.14733996443, 2.7091698903757315E-5, 146.62686365786607, 5.0916964588149974E-5, 4.936011105303196E-4, 2.733470709163166E-5, 40.768213609503405, 0.6005258525706392, -0.009823957231809684, -49.9868, 150.5259, 10491
45.0, 900.0, 1.731614103635887, -0.017523907102070812, 17.491605198682315, 3.654685419549913, 6.316026064024866E-4, 1.8863392908126051E-6, 6.884111645966728E14, 0.6131883789275421, 0.12513638635242602, 2.8604009988011936E-4, 0.6909201317941592, -0.3670678614273883, 2.179976321963197, 401.6608798893339, 395.52500613857194, 194871.94438124466, 2.692473385808752E-5, 146.62583623092837, 5.097742746056776E-5, 4.939917674709396E-4, 2.7358228802432236E-5, 40.76804018528722, 0.6003275744928658, -0.00982403292384954, -49.9868, 150.526, 10491
45.0, 900.0, 1.8293475615700627, -0.018532371179101385, 17.602999481550604, 3.6550627336245074, 6.679258199074813E-4, 1.8871211249258558E-6, 6.885931705960244E14, 0.6132793018368081, 0.12515713157246847, 3.053191007832967E-4, 0.6901510555555996, -0.2804505243771986, 2.095590332035861, 404.26056616042735, 398.0438606424565, 196123.51958495157, 2.6751587948895623E-5, 146.62475204664597, 5.1040840045843074E-5, 4.94401314823287E-4, 2.738307811781696E-5, 40.767856973597915, 0.6001181070456103, -0.009824112892559028, -49.9868, 150.5261, 10491
45.0, 900.0, 1.9325971612241029, -0.01959780668409616, 17.71992028022665, 3.6554613012524477, 7.063776458611489E-4, 1.8879401826529222E-6, 6.887844762877075E14, 0.6133745019013567, 0.12517885925137076, 3.255196042095676E-4, 0.6882082377839905, -0.07452902366671771, 1.8920082833021972, 406.99007887172473, 400.68795618370416, 197437.53940108896, 2.657217620609264E-5, 146.62362971581325, 5.110733812957147E-5, 4.948305730087483E-4, 2.7409329971323815E-5, 40.767663422105734, 0.5998968188758731, -0.009824197380268995, -49.9868, 150.5261, 10491
45.0, 900.0, 2.041674237325303, -0.02072343487171055, 17.842607931187175, 3.655882317103706, 7.470873623632175E-4, 1.8887978951372603E-6, 6.889855143867269E14, 0.6134741381506749, 0.12520160661154617, 3.466774160221231E-4, 0.6880694309241534, -0.06550743578182923, 1.8854384909033552, 409.85516098422113, 403.4627745453864, 198816.76148409717, 2.6386423581788573E-5, 146.62242222555525, 5.1177027043067E-5, 4.952802606418611E-4, 2.7437063527529942E-5, 40.76745894731672, 0.5996630430178995, -0.009824286643033697, -49.9868, 150.5262, 10491
45.0, 900.0, 2.1569076965411567, -0.02191265940447444, 17.97131036289939, 3.6563270427108625, 7.901926092921626E-4, 1.8896957588001585E-6, 6.891967342651094E14, 0.6135783764714585, 0.12522541253247688, 3.6883000253543075E-4, 0.68866436615145, -0.1343360183552886, 1.9568356310435469, 412.8617483789219, 406.3739754586281, 200264.03588964767, 2.6194268955484647E-5, 146.6211478150165, 5.1250046618346084E-5, 4.957512191425771E-4, 2.7466362415924227E-5, 40.767242932814774, 0.5994160748855211, -0.00982438095033145, -49.9868, 150.5262, 10491
45.0, 900.0, 2.278645009251409, -0.02316907671853245, 18.106283126959454, 3.6567968101777444, 8.358399848240258E-4, 1.8906352987918044E-6, 6.894186023674924E14, 0.6136873853023203, 0.12525031657523822, 3.92015593001227E-4, 0.687084271258058, 0.011047720861416727, 1.814141701503555, 416.0159721796058, 409.42739805925333, 201782.30620380942, 2.5995664093980197E-5, 146.6198027071567, 5.1326530450182256E-5, 4.962442791630452E-4, 2.749731499019884E-5, 40.767014727404536, 0.5991551701514082, -0.009824480588055738, -49.9868, 150.5263, 10491
45.0, 900.0, 2.4072532572963903, -0.024496486967564006, 18.247789416848107, 3.657293026089915, 8.841856898961254E-4, 1.891618066724908E-6, 6.896516026309206E14, 0.613801335314557, 0.12527635891657743, 4.1627312749975554E-4, 0.6868593091527081, 0.024481687184825754, 1.8035233469971488, 419.3241609304264, 412.62906214856605, 203374.61061176265, 2.5790575593153068E-5, 146.61840472520151, 5.1406624758675555E-5, 4.967603170454293E-4, 2.7530014589521132E-5, 40.76677364315019, 0.598879542507416, -0.00982458585794709, -49.9868, 150.5264, 10491
45.0, 900.0, 2.543120240860966, -0.025898905598105787, 18.39610007450445, 3.657817175637546, 9.353962257160083E-4, 1.8926456420341586E-6, 6.898962369103021E14, 0.6139203995111071, 0.12530358037882822, 4.416422944671372E-4, 0.6896786360212985, -0.2657838251560351, 2.0967348813749482, 422.7928426446379, 415.9851692715294, 205044.08291569253, 2.55789837681536E-5, 146.6169060265905, 5.149045048812555E-5, 4.973001406335704E-4, 2.7564559821622875E-5, 40.76651895330286, 0.5985883612980372, -0.009824697079240387, -49.9868, 150.5265, 10491
45.0, 900.0, 2.6866556478317554, -0.027380575566686827, 18.55149358509495, 3.658370826961721, 9.896491486268812E-4, 1.893719595051006E-6, 6.901530254112988E14, 0.6140447488907292, 0.12533202144573014, 4.6816262293322697E-4, 0.6895252344567135, -0.2632634035062494, 2.0972954453406953, 426.42874674572045, 419.5021036304125, 206793.95351412403, 2.536088649949061E-5, 146.61532397162657, 5.157815746346755E-5, 4.978646427233473E-4, 2.7601054861160376E-5, 40.76624989011201, 0.598280749021558, -0.009824814588201908, -49.9868, 150.5265, 10491
